line_id,po_id,product_id,quantity_ordered,quantity_received,unit_cost,line_status
LN-001,PO-2024-001,PRD001,1000,1000,0.15,RECEIVED
LN-002,PO-2024-001,PRD002,1000,1000,0.10,RECEIVED
LN-003,PO-2024-001,PRD003,2000,2000,0.05,RECEIVED
LN-004,PO-2024-002,PRD006,100,100,4.20,RECEIVED
LN-005,PO-2024-002,PRD007,80,80,5.80,RECEIVED
LN-006,PO-2024-002,PRD009,15,15,18.40,RECEIVED
LN-007,PO-2024-003,PRD001,5000,5000,0.14,RECEIVED
LN-008,PO-2024-003,PRD002,5000,4800,0.09,PARTIAL
LN-009,PO-2024-003,PRD003,8000,8000,0.05,RECEIVED
LN-010,PO-2024-004,PRD004,30,30,12.50,RECEIVED
LN-011,PO-2024-004,PRD005,60,60,3.75,RECEIVED
LN-012,PO-2024-005,PRD013,20,20,14.00,RECEIVED
LN-013,PO-2024-005,PRD011,25,25,22.00,RECEIVED
LN-014,PO-2024-005,PRD012,40,40,8.50,RECEIVED
LN-015,PO-2024-006,PRD001,2000,2000,0.15,RECEIVED
LN-016,PO-2024-006,PRD002,2000,2000,0.10,RECEIVED
LN-017,PO-2024-007,PRD008,50,50,6.90,RECEIVED
LN-018,PO-2024-007,PRD010,10,8,35.00,PARTIAL
LN-019,PO-2024-008,PRD001,3000,3000,0.15,RECEIVED
LN-020,PO-2024-008,PRD014,3,3,185.00,RECEIVED
LN-021,PO-2024-009,PRD006,150,150,4.20,RECEIVED
LN-022,PO-2024-009,PRD007,100,100,5.75,RECEIVED
LN-023,PO-2024-010,PRD010,20,0,35.00,CANCELLED
LN-024,PO-2024-011,PRD004,25,25,12.50,RECEIVED
LN-025,PO-2024-011,PRD005,50,50,3.75,RECEIVED
LN-026,PO-2024-012,PRD001,1500,1500,0.15,RECEIVED
LN-027,PO-2024-012,PRD002,1500,1500,0.10,RECEIVED
LN-028,PO-2024-012,PRD003,3000,3000,0.05,RECEIVED
LN-029,PO-2024-013,PRD001,4000,0,0.14,CANCELLED
LN-030,PO-2024-013,PRD002,4000,0,0.09,CANCELLED
LN-031,PO-2024-014,PRD014,2,2,185.00,RECEIVED
LN-032,PO-2024-014,PRD013,15,15,14.00,RECEIVED
LN-033,PO-2024-015,PRD011,30,30,22.00,RECEIVED
LN-034,PO-2024-015,PRD012,60,60,8.50,RECEIVED
LN-035,PO-2024-015,PRD013,10,10,14.00,RECEIVED
LN-036,PO-2024-016,PRD001,3000,3000,0.13,RECEIVED
LN-037,PO-2024-016,PRD008,40,40,6.80,RECEIVED
LN-038,PO-2024-017,PRD001,2500,0,0.15,PENDING
LN-039,PO-2024-017,PRD002,2500,0,0.10,PENDING
LN-040,PO-2024-017,PRD003,5000,0,0.05,PENDING
LN-041,PO-2024-018,PRD006,200,0,4.15,PENDING
LN-042,PO-2024-018,PRD007,150,0,5.70,PENDING
LN-043,PO-2024-019,PRD008,60,0,6.90,PENDING
LN-044,PO-2024-019,PRD009,20,0,18.40,PENDING
LN-045,PO-2024-020,PRD014,4,0,185.00,PENDING
LN-046,PO-2024-020,PRD013,25,0,14.00,PENDING
